wl,n,k
1.13E-01,3.85E-02,9.57E-01
1.24E-01,4.63E-02,1.16E+00
1.38E-01,5.72E-02,1.38E+00
1.55E-01,7.25E-02,1.64E+00
1.77E-01,9.42E-02,1.95E+00
2.07E-01,1.27E-01,2.36E+00
2.48E-01,1.81E-01,2.90E+00
3.10E-01,2.80E-01,3.71E+00
3.26E-01,3.15E-01,3.92E+00
3.65E-01,3.99E-01,4.40E+00
4.13E-01,5.21E-01,5.00E+00
4.43E-01,6.08E-01,5.37E+00
4.77E-01,7.28E-01,5.78E+00
5.17E-01,8.73E-01,6.24E+00
5.64E-01,1.07E+00,6.78E+00
6.20E-01,1.37E+00,7.41E+00
6.52E-01,1.57E+00,7.74E+00
6.89E-01,1.83E+00,8.06E+00
7.29E-01,2.16E+00,8.36E+00
7.75E-01,2.62E+00,8.49E+00
7.95E-01,2.77E+00,8.39E+00
8.16E-01,2.77E+00,8.26E+00
8.38E-01,2.69E+00,8.19E+00
8.86E-01,2.28E+00,8.11E+00
9.12E-01,1.97E+00,8.31E+00
9.39E-01,1.68E+00,8.60E+00
9.69E-01,1.49E+00,9.07E+00
1.00E+00,1.44E+00,9.49E+00
1.03E+00,1.40E+00,9.89E+00
1.13E+00,1.33E+00,1.10E+01
1.24E+00,1.32E+00,1.22E+01
1.38E+00,1.39E+00,1.38E+01
1.55E+00,1.58E+00,1.57E+01
1.77E+00,1.92E+00,1.80E+01
2.07E+00,2.47E+00,2.10E+01
2.48E+00,3.34E+00,2.50E+01
2.76E+00,3.94E+00,2.76E+01
3.10E+00,4.71E+00,3.07E+01
3.26E+00,5.07E+00,3.22E+01
3.44E+00,5.49E+00,3.38E+01
3.65E+00,5.96E+00,3.56E+01
3.87E+00,6.48E+00,3.76E+01
4.13E+00,7.08E+00,3.98E+01
4.43E+00,7.78E+00,4.24E+01
4.77E+00,8.59E+00,4.53E+01
5.17E+00,9.56E+00,4.86E+01
5.64E+00,1.07E+01,5.25E+01
6.20E+00,1.22E+01,5.72E+01
6.89E+00,1.41E+01,6.28E+01
7.75E+00,1.68E+01,6.99E+01
8.86E+00,2.08E+01,7.83E+01
1.03E+01,2.62E+01,8.82E+01
1.24E+01,3.35E+01,1.01E+02
1.38E+01,3.85E+01,1.09E+02
1.55E+01,4.38E+01,1.18E+02
1.77E+01,5.10E+01,1.29E+02
1.91E+01,5.44E+01,1.36E+02
2.07E+01,5.86E+01,1.44E+02
2.25E+01,6.36E+01,1.53E+02
2.48E+01,6.85E+01,1.65E+02
2.76E+01,7.57E+01,1.82E+02
3.10E+01,9.20E+01,2.00E+02
3.33E+01,1.02E+02,2.08E+02
4.00E+01,1.25E+02,2.30E+02
4.44E+01,1.40E+02,2.43E+02
5.00E+01,1.57E+02,2.58E+02
5.71E+01,1.78E+02,2.75E+02
6.67E+01,2.03E+02,2.95E+02
8.00E+01,2.34E+02,3.21E+02
1.00E+02,2.74E+02,3.54E+02
1.25E+02,3.19E+02,3.92E+02
1.38E+02,3.40E+02,4.09E+02
1.54E+02,3.64E+02,4.30E+02
1.77E+02,3.98E+02,4.59E+02
2.00E+02,4.24E+02,4.84E+02
