wl,n
0.2066,1.309
0.2101,1.327
0.2138,1.348
0.2175,1.385
0.2214,1.444
0.2254,1.543
0.2296,1.778
0.2339,2.249
0.2384,2.825
0.2431,3.342
0.2480,3.661
0.2530,3.844
0.2583,4.062
0.2638,4.181
0.2695,4.113
0.2755,3.978
0.2818,3.867
0.2883,3.792
0.2952,3.754
0.3024,3.752
0.3100,3.790
0.3179,3.890
0.3263,4.196
0.3351,5.149
0.3444,5.406
0.3542,5.050
0.3647,4.751
0.3757,4.518
0.3875,4.339
0.3999,4.196
0.4133,4.081
0.4275,3.990
0.4428,3.919
0.4592,3.805
0.4769,3.691
0.4959,3.605
0.5166,3.535
0.5391,3.474
0.5636,3.421
0.5904,3.375
0.6199,3.334
0.6525,3.295
0.6888,3.262
0.7293,3.234
0.7749,3.209
0.8266,3.178
