wl,n
0.590,3.39003
0.591,3.38853
0.592,3.38703
0.593,3.38555
0.594,3.38408
0.595,3.38261
0.596,3.38115
0.597,3.37969
0.598,3.37824
0.599,3.37679
0.600,3.37535
0.601,3.37390
0.602,3.37247
0.603,3.37103
0.604,3.36960
0.605,3.36816
0.606,3.36673
0.607,3.36530
0.608,3.36388
0.609,3.36245
0.610,3.36102
0.611,3.35960
0.612,3.35817
0.613,3.35674
0.614,3.35532
0.615,3.35390
0.616,3.35247
0.617,3.35105
0.618,3.34962
0.619,3.34820
0.620,3.34677
0.621,3.34535
0.622,3.34393
0.623,3.34251
0.624,3.34108
0.625,3.33966
0.626,3.33824
0.627,3.33682
0.628,3.33541
0.629,3.33399
0.630,3.33257
0.631,3.33116
0.632,3.32975
0.633,3.32834
0.634,3.32693
0.635,3.32553
0.636,3.32413
0.637,3.32273
0.638,3.32134
0.639,3.31995
0.640,3.31857
0.641,3.31719
0.642,3.31582
0.643,3.31446
0.644,3.31310
0.645,3.31176
0.646,3.31042
0.647,3.30908
0.648,3.30776
0.649,3.30644
0.650,3.30514
0.651,3.30384
0.652,3.30255
0.653,3.30127
0.654,3.29999
0.655,3.29873
0.656,3.29747
0.657,3.29623
0.658,3.29499
0.659,3.29377
0.660,3.29255
0.661,3.29134
0.662,3.29014
0.663,3.28895
0.664,3.28777
0.665,3.28660
0.666,3.28544
0.667,3.28429
0.668,3.28315
0.669,3.28201
0.670,3.28089
0.671,3.27977
0.672,3.27867
0.673,3.27757
0.674,3.27648
0.675,3.27541
0.676,3.27434
0.677,3.27328
0.678,3.27222
0.679,3.27118
0.680,3.27015
0.681,3.26912
0.682,3.26811
0.683,3.26710
0.684,3.26610
0.685,3.26511
0.686,3.26412
0.687,3.26315
0.688,3.26218
0.689,3.26122
0.690,3.26027
0.691,3.25933
0.692,3.25839
0.693,3.25746
0.694,3.25654
0.695,3.25562
0.696,3.25471
0.697,3.25381
0.698,3.25291
0.699,3.25203
0.700,3.25114
0.701,3.25026
0.702,3.24939
0.703,3.24853
0.704,3.24767
0.705,3.24682
0.706,3.24597
0.707,3.24512
0.708,3.24429
0.709,3.24346
0.710,3.24263
0.711,3.24181
0.712,3.24099
0.713,3.24018
0.714,3.23938
0.715,3.23858
0.716,3.23778
0.717,3.23699
0.718,3.23621
0.719,3.23543
0.720,3.23465
0.721,3.23388
0.722,3.23311
0.723,3.23235
0.724,3.23159
0.725,3.23084
0.726,3.23009
0.727,3.22935
0.728,3.22861
0.729,3.22787
0.730,3.22714
0.731,3.22642
0.732,3.22569
0.733,3.22498
0.734,3.22426
0.735,3.22355
0.736,3.22285
0.737,3.22214
0.738,3.22145
0.739,3.22075
0.740,3.22006
0.741,3.21938
0.742,3.21869
0.743,3.21801
0.744,3.21734
0.745,3.21667
0.746,3.21600
0.747,3.21534
0.748,3.21468
0.749,3.21402
0.750,3.21337
0.751,3.21272
0.752,3.21207
0.753,3.21143
0.754,3.21079
0.755,3.21016
0.756,3.20952
0.757,3.20889
0.758,3.20827
0.759,3.20765
0.760,3.20703
0.761,3.20641
0.762,3.20580
0.763,3.20519
0.764,3.20458
0.765,3.20398
0.766,3.20338
0.767,3.20279
0.768,3.20219
0.769,3.20160
0.770,3.20101
0.771,3.20043
0.772,3.19985
0.773,3.19927
0.774,3.19869
0.775,3.19812
0.776,3.19755
0.777,3.19698
0.778,3.19642
0.779,3.19586
0.780,3.19530
0.781,3.19474
0.782,3.19419
0.783,3.19364
0.784,3.19309
0.785,3.19255
0.786,3.19201
0.787,3.19147
0.788,3.19093
0.789,3.19040
0.790,3.18987
0.791,3.18934
0.792,3.18881
0.793,3.18829
0.794,3.18776
0.795,3.18725
0.796,3.18673
0.797,3.18622
0.798,3.18570
0.799,3.18520
0.800,3.18469
0.801,3.18418
0.802,3.18368
0.803,3.18318
0.804,3.18269
0.805,3.18219
0.806,3.18170
0.807,3.18121
0.808,3.18072
0.809,3.18024
0.810,3.17975
0.811,3.17927
0.812,3.17879
0.813,3.17832
0.814,3.17784
0.815,3.17737
0.816,3.17690
0.817,3.17643
0.818,3.17597
0.819,3.17550
0.820,3.17504
0.821,3.17458
0.822,3.17413
0.823,3.17367
0.824,3.17322
0.825,3.17277
0.826,3.17232
0.827,3.17187
0.828,3.17143
0.829,3.17098
0.830,3.17054
0.831,3.17010
0.832,3.16967
0.833,3.16923
0.834,3.16880
0.835,3.16837
0.836,3.16794
0.837,3.16751
0.838,3.16708
0.839,3.16666
0.840,3.16624
0.841,3.16582
0.842,3.16540
0.843,3.16498
0.844,3.16457
0.845,3.16416
0.846,3.16375
0.847,3.16334
0.848,3.16293
0.849,3.16252
0.850,3.16212
0.851,3.16172
0.852,3.16132
0.853,3.16092
0.854,3.16052
0.855,3.16013
0.856,3.15973
0.857,3.15934
0.858,3.15895
0.859,3.15856
0.860,3.15817
0.861,3.15779
0.862,3.15740
0.863,3.15702
0.864,3.15664
0.865,3.15626
0.866,3.15589
0.867,3.15551
0.868,3.15513
0.869,3.15476
0.870,3.15439
0.871,3.15402
0.872,3.15365
0.873,3.15329
0.874,3.15292
0.875,3.15256
0.876,3.15220
0.877,3.15184
0.878,3.15148
0.879,3.15112
0.880,3.15076
0.881,3.15041
0.882,3.15005
0.883,3.14970
0.884,3.14935
0.885,3.14900
0.886,3.14866
0.887,3.14831
0.888,3.14796
0.889,3.14762
0.890,3.14728
0.891,3.14694
0.892,3.14660
0.893,3.14626
0.894,3.14592
0.895,3.14559
0.896,3.14525
0.897,3.14492
0.898,3.14459
0.899,3.14426
0.900,3.14393
0.901,3.14360
0.902,3.14328
0.903,3.14295
0.904,3.14263
0.905,3.14231
0.906,3.14199
0.907,3.14167
0.908,3.14135
0.909,3.14103
0.910,3.14071
0.911,3.14040
0.912,3.14009
0.913,3.13977
0.914,3.13946
0.915,3.13915
0.916,3.13884
0.917,3.13854
0.918,3.13823
0.919,3.13792
0.920,3.13762
0.921,3.13732
0.922,3.13702
0.923,3.13671
0.924,3.13642
0.925,3.13612
0.926,3.13582
0.927,3.13552
0.928,3.13523
0.929,3.13493
0.930,3.13464
0.931,3.13435
0.932,3.13406
0.933,3.13377
0.934,3.13348
0.935,3.13319
0.936,3.13291
0.937,3.13262
0.938,3.13234
0.939,3.13206
0.940,3.13177
0.941,3.13149
0.942,3.13121
0.943,3.13093
0.944,3.13066
0.945,3.13038
0.946,3.13010
0.947,3.12983
0.948,3.12955
0.949,3.12928
0.950,3.12901
0.951,3.12874
0.952,3.12847
0.953,3.12820
0.954,3.12793
0.955,3.12767
0.956,3.12740
0.957,3.12713
0.958,3.12687
0.959,3.12661
0.960,3.12634
0.961,3.12608
0.962,3.12582
0.963,3.12556
0.964,3.12531
0.965,3.12505
0.966,3.12479
0.967,3.12454
0.968,3.12428
0.969,3.12403
0.970,3.12377
0.971,3.12352
0.972,3.12327
0.973,3.12302
0.974,3.12277
0.975,3.12252
0.976,3.12228
0.977,3.12203
0.978,3.12178
0.979,3.12154
0.980,3.12129
0.981,3.12105
0.982,3.12081
0.983,3.12057
0.984,3.12033
0.985,3.12009
0.986,3.11985
0.987,3.11961
0.988,3.11937
0.989,3.11913
0.990,3.11890
0.991,3.11866
0.992,3.11843
0.993,3.11820
0.994,3.11796
0.995,3.11773
0.996,3.11750
0.997,3.11727
0.998,3.11704
0.999,3.11681
1.000,3.11659
1.001,3.11636
1.002,3.11613
1.003,3.11591
1.004,3.11568
1.005,3.11546
1.006,3.11523
1.007,3.11501
1.008,3.11479
1.009,3.11457
1.010,3.11435
1.011,3.11413
1.012,3.11391
1.013,3.11369
1.014,3.11348
1.015,3.11326
1.016,3.11304
1.017,3.11283
1.018,3.11261
1.019,3.11240
1.020,3.11219
1.021,3.11198
1.022,3.11176
1.023,3.11155
1.024,3.11134
1.025,3.11113
1.026,3.11092
1.027,3.11072
1.028,3.11051
1.029,3.11030
1.030,3.11010
1.031,3.10989
1.032,3.10969
1.033,3.10948
1.034,3.10928
1.035,3.10908
1.036,3.10887
1.037,3.10867
1.038,3.10847
1.039,3.10827
1.040,3.10807
1.041,3.10787
1.042,3.10768
1.043,3.10748
1.044,3.10728
1.045,3.10709
1.046,3.10689
1.047,3.10670
1.048,3.10650
1.049,3.10631
1.050,3.10611
1.051,3.10592
1.052,3.10573
1.053,3.10554
1.054,3.10535
1.055,3.10516
1.056,3.10497
1.057,3.10478
1.058,3.10459
1.059,3.10440
1.060,3.10422
1.061,3.10403
1.062,3.10385
1.063,3.10366
1.064,3.10348
1.065,3.10329
1.066,3.10311
1.067,3.10292
1.068,3.10274
1.069,3.10256
1.070,3.10238
1.071,3.10220
1.072,3.10202
1.073,3.10184
1.074,3.10166
1.075,3.10148
1.076,3.10130
1.077,3.10113
1.078,3.10095
1.079,3.10077
1.080,3.10060
1.081,3.10042
1.082,3.10025
1.083,3.10007
1.084,3.09990
1.085,3.09973
1.086,3.09956
1.087,3.09938
1.088,3.09921
1.089,3.09904
1.090,3.09887
1.091,3.09870
1.092,3.09853
1.093,3.09836
1.094,3.09819
1.095,3.09803
1.096,3.09786
1.097,3.09769
1.098,3.09753
1.099,3.09736
1.100,3.09720
1.101,3.09703
1.102,3.09687
1.103,3.09670
1.104,3.09654
1.105,3.09638
1.106,3.09622
1.107,3.09605
1.108,3.09589
1.109,3.09573
1.110,3.09557
1.111,3.09541
1.112,3.09525
1.113,3.09509
1.114,3.09493
1.115,3.09478
1.116,3.09462
1.117,3.09446
1.118,3.09431
1.119,3.09415
1.120,3.09399
1.121,3.09384
1.122,3.09368
1.123,3.09353
1.124,3.09338
1.125,3.09322
1.126,3.09307
1.127,3.09292
1.128,3.09276
1.129,3.09261
1.130,3.09246
1.131,3.09231
1.132,3.09216
1.133,3.09201
1.134,3.09186
1.135,3.09171
1.136,3.09156
1.137,3.09142
1.138,3.09127
1.139,3.09112
1.140,3.09098
1.141,3.09083
1.142,3.09068
1.143,3.09054
1.144,3.09039
1.145,3.09025
1.146,3.09010
1.147,3.08996
1.148,3.08982
1.149,3.08967
1.150,3.08953
1.151,3.08939
1.152,3.08925
1.153,3.08911
1.154,3.08896
1.155,3.08882
1.156,3.08868
1.157,3.08854
1.158,3.08840
1.159,3.08827
1.160,3.08813
1.161,3.08799
1.162,3.08785
1.163,3.08771
1.164,3.08758
1.165,3.08744
1.166,3.08730
1.167,3.08717
1.168,3.08703
1.169,3.08690
1.170,3.08676
1.171,3.08663
1.172,3.08649
1.173,3.08636
1.174,3.08623
1.175,3.08609
1.176,3.08596
1.177,3.08583
1.178,3.08570
1.179,3.08557
1.180,3.08543
1.181,3.08530
1.182,3.08517
1.183,3.08504
1.184,3.08491
1.185,3.08479
1.186,3.08466
1.187,3.08453
1.188,3.08440
1.189,3.08427
1.190,3.08414
1.191,3.08402
1.192,3.08389
1.193,3.08376
1.194,3.08364
1.195,3.08351
1.196,3.08339
1.197,3.08326
1.198,3.08314
1.199,3.08301
1.200,3.08289
1.201,3.08276
1.202,3.08264
1.203,3.08252
1.204,3.08240
1.205,3.08227
1.206,3.08215
1.207,3.08203
1.208,3.08191
1.209,3.08179
1.210,3.08167
1.211,3.08155
1.212,3.08143
1.213,3.08131
1.214,3.08119
1.215,3.08107
1.216,3.08095
1.217,3.08083
1.218,3.08071
1.219,3.08059
1.220,3.08048
1.221,3.08036
1.222,3.08024
1.223,3.08013
1.224,3.08001
1.225,3.07989
1.226,3.07978
1.227,3.07966
1.228,3.07955
1.229,3.07943
1.230,3.07932
1.231,3.07920
1.232,3.07909
1.233,3.07898
1.234,3.07886
1.235,3.07875
1.236,3.07864
1.237,3.07853
1.238,3.07841
1.239,3.07830
1.240,3.07819
1.241,3.07808
1.242,3.07797
1.243,3.07786
1.244,3.07775
1.245,3.07764
1.246,3.07753
1.247,3.07742
1.248,3.07731
1.249,3.07720
1.250,3.07709
1.251,3.07698
1.252,3.07688
1.253,3.07677
1.254,3.07666
1.255,3.07655
1.256,3.07645
1.257,3.07634
1.258,3.07623
1.259,3.07613
1.260,3.07602
1.261,3.07592
1.262,3.07581
1.263,3.07571
1.264,3.07560
1.265,3.07550
1.266,3.07539
1.267,3.07529
1.268,3.07518
1.269,3.07508
1.270,3.07498
1.271,3.07488
1.272,3.07477
1.273,3.07467
1.274,3.07457
1.275,3.07447
1.276,3.07436
1.277,3.07426
1.278,3.07416
1.279,3.07406
1.280,3.07396
1.281,3.07386
1.282,3.07376
1.283,3.07366
1.284,3.07356
1.285,3.07346
1.286,3.07336
1.287,3.07326
1.288,3.07317
1.289,3.07307
1.290,3.07297
1.291,3.07287
1.292,3.07277
1.293,3.07268
1.294,3.07258
1.295,3.07248
1.296,3.07239
1.297,3.07229
1.298,3.07219
1.299,3.07210
1.300,3.07200
1.301,3.07191
1.302,3.07181
1.303,3.07172
1.304,3.07162
1.305,3.07153
1.306,3.07143
1.307,3.07134
1.308,3.07124
1.309,3.07115
1.310,3.07106
1.311,3.07096
1.312,3.07087
1.313,3.07078
1.314,3.07069
1.315,3.07059
1.316,3.07050
1.317,3.07041
1.318,3.07032
1.319,3.07023
1.320,3.07014
1.321,3.07005
1.322,3.06996
1.323,3.06987
1.324,3.06977
1.325,3.06968
1.326,3.06960
1.327,3.06951
1.328,3.06942
1.329,3.06933
1.330,3.06924
1.331,3.06915
1.332,3.06906
1.333,3.06897
1.334,3.06888
1.335,3.06880
1.336,3.06871
1.337,3.06862
1.338,3.06853
1.339,3.06845
1.340,3.06836
1.341,3.06827
1.342,3.06819
1.343,3.06810
1.344,3.06802
1.345,3.06793
1.346,3.06784
1.347,3.06776
1.348,3.06767
1.349,3.06759
1.350,3.06751
1.351,3.06743
1.352,3.06736
1.353,3.06728
1.354,3.06720
1.355,3.06712
1.356,3.06705
1.357,3.06697
1.358,3.06689
1.359,3.06681
1.360,3.06673
1.361,3.06666
1.362,3.06658
1.363,3.06650
1.364,3.06642
1.365,3.06635
1.366,3.06627
1.367,3.06619
1.368,3.06611
1.369,3.06604
1.370,3.06596
1.371,3.06588
1.372,3.06580
1.373,3.06573
1.374,3.06565
1.375,3.06557
1.376,3.06549
1.377,3.06541
1.378,3.06534
1.379,3.06526
1.380,3.06518
1.381,3.06510
1.382,3.06503
1.383,3.06495
1.384,3.06487
1.385,3.06479
1.386,3.06472
1.387,3.06464
1.388,3.06456
1.389,3.06448
1.390,3.06440
1.391,3.06433
1.392,3.06425
1.393,3.06417
1.394,3.06409
1.395,3.06402
1.396,3.06394
1.397,3.06386
1.398,3.06378
1.399,3.06371
1.400,3.06363
1.401,3.06355
1.402,3.06347
1.403,3.06339
1.404,3.06332
1.405,3.06324
1.406,3.06316
1.407,3.06308
1.408,3.06301
1.409,3.06293
1.410,3.06285
1.411,3.06277
1.412,3.06270
1.413,3.06262
1.414,3.06254
1.415,3.06246
1.416,3.06238
1.417,3.06231
1.418,3.06223
1.419,3.06215
1.420,3.06207
1.421,3.06200
1.422,3.06192
1.423,3.06184
1.424,3.06176
1.425,3.06169
1.426,3.06161
1.427,3.06154
1.428,3.06147
1.429,3.06140
1.430,3.06133
1.431,3.06125
1.432,3.06118
1.433,3.06111
1.434,3.06104
1.435,3.06097
1.436,3.06091
1.437,3.06084
1.438,3.06077
1.439,3.06070
1.440,3.06063
1.441,3.06056
1.442,3.06049
1.443,3.06042
1.444,3.06035
1.445,3.06029
1.446,3.06022
1.447,3.06015
1.448,3.06008
1.449,3.06001
1.450,3.05995
1.451,3.05988
1.452,3.05981
1.453,3.05975
1.454,3.05968
1.455,3.05961
1.456,3.05955
1.457,3.05948
1.458,3.05941
1.459,3.05935
1.460,3.05928
1.461,3.05921
1.462,3.05915
1.463,3.05908
1.464,3.05902
1.465,3.05895
1.466,3.05889
1.467,3.05882
1.468,3.05876
1.469,3.05869
1.470,3.05863
1.471,3.05856
1.472,3.05850
1.473,3.05844
1.474,3.05837
1.475,3.05831
1.476,3.05824
1.477,3.05818
1.478,3.05812
1.479,3.05805
1.480,3.05799
1.481,3.05793
1.482,3.05786
1.483,3.05780
1.484,3.05774
1.485,3.05768
1.486,3.05761
1.487,3.05755
1.488,3.05749
1.489,3.05743
1.490,3.05736
1.491,3.05730
1.492,3.05724
1.493,3.05718
1.494,3.05712
1.495,3.05706
1.496,3.05700
1.497,3.05694
1.498,3.05687
1.499,3.05681
1.500,3.05675
1.501,3.05669
1.502,3.05663
1.503,3.05657
1.504,3.05651
1.505,3.05645
1.506,3.05639
1.507,3.05633
1.508,3.05627
1.509,3.05621
1.510,3.05615
1.511,3.05609
1.512,3.05604
1.513,3.05598
1.514,3.05592
1.515,3.05586
1.516,3.05580
1.517,3.05574
1.518,3.05568
1.519,3.05563
1.520,3.05557
1.521,3.05551
1.522,3.05545
1.523,3.05539
1.524,3.05534
1.525,3.05528
1.526,3.05522
1.527,3.05516
1.528,3.05511
1.529,3.05505
1.530,3.05499
1.531,3.05494
1.532,3.05488
1.533,3.05482
1.534,3.05477
1.535,3.05471
1.536,3.05465
1.537,3.05460
1.538,3.05454
1.539,3.05449
1.540,3.05443
1.541,3.05437
1.542,3.05432
1.543,3.05426
1.544,3.05421
1.545,3.05415
1.546,3.05410
1.547,3.05404
1.548,3.05399
1.549,3.05393
1.550,3.05388
1.551,3.05382
1.552,3.05377
1.553,3.05371
1.554,3.05366
1.555,3.05361
1.556,3.05355
1.557,3.05350
1.558,3.05345
1.559,3.05339
1.560,3.05334
1.561,3.05328
1.562,3.05323
1.563,3.05318
1.564,3.05312
1.565,3.05307
1.566,3.05302
1.567,3.05297
1.568,3.05291
1.569,3.05286
1.570,3.05281
1.571,3.05276
1.572,3.05270
1.573,3.05265
1.574,3.05260
1.575,3.05255
1.576,3.05250
1.577,3.05244
1.578,3.05239
1.579,3.05234
1.580,3.05229
1.581,3.05224
1.582,3.05219
1.583,3.05214
1.584,3.05208
1.585,3.05203
1.586,3.05198
1.587,3.05193
1.588,3.05188
1.589,3.05183
1.590,3.05178
1.591,3.05173
1.592,3.05168
1.593,3.05163
1.594,3.05158
1.595,3.05153
1.596,3.05148
1.597,3.05143
1.598,3.05138
1.599,3.05133
1.600,3.05128
1.601,3.05123
1.602,3.05118
1.603,3.05113
1.604,3.05108
1.605,3.05104
1.606,3.05099
1.607,3.05094
1.608,3.05089
1.609,3.05084
1.610,3.05079
1.611,3.05074
1.612,3.05070
1.613,3.05065
1.614,3.05060
1.615,3.05055
1.616,3.05050
1.617,3.05046
1.618,3.05041
1.619,3.05036
1.620,3.05031
1.621,3.05027
1.622,3.05022
1.623,3.05017
1.624,3.05012
1.625,3.05008
1.626,3.05003
1.627,3.04998
1.628,3.04994
1.629,3.04989
1.630,3.04984
1.631,3.04980
1.632,3.04975
1.633,3.04970
1.634,3.04966
1.635,3.04961
1.636,3.04956
1.637,3.04952
1.638,3.04947
1.639,3.04943
1.640,3.04938
1.641,3.04933
1.642,3.04929
1.643,3.04924
1.644,3.04920
1.645,3.04915
1.646,3.04911
1.647,3.04906
1.648,3.04902
1.649,3.04897
1.650,3.04893
1.651,3.04888
1.652,3.04884
1.653,3.04879
1.654,3.04875
1.655,3.04870
1.656,3.04866
1.657,3.04862
1.658,3.04857
1.659,3.04853
1.660,3.04848
1.661,3.04844
1.662,3.04840
1.663,3.04835
1.664,3.04831
1.665,3.04826
1.666,3.04822
1.667,3.04818
1.668,3.04813
1.669,3.04809
1.670,3.04805
1.671,3.04800
1.672,3.04796
1.673,3.04792
1.674,3.04787
1.675,3.04783
1.676,3.04779
1.677,3.04775
1.678,3.04770
1.679,3.04766
1.680,3.04762
1.681,3.04758
1.682,3.04753
1.683,3.04749
1.684,3.04745
1.685,3.04741
1.686,3.04737
1.687,3.04732
1.688,3.04728
1.689,3.04724
1.690,3.04720
1.691,3.04716
1.692,3.04712
1.693,3.04707
1.694,3.04703
1.695,3.04699
1.696,3.04695
1.697,3.04691
1.698,3.04687
1.699,3.04683
1.700,3.04679
