wl,n
0.235,2.61161
0.236,2.66529
0.237,2.73213
0.238,2.80956
0.239,2.89493
0.240,2.98561
0.241,3.07902
0.242,3.17246
0.243,3.26313
0.244,3.34986
0.245,3.43243
0.246,3.51076
0.247,3.58488
0.248,3.65487
0.249,3.72083
0.250,3.78292
0.251,3.84123
0.252,3.89574
0.253,3.94638
0.254,3.99305
0.255,4.03560
0.256,4.07385
0.257,4.10749
0.258,4.13607
0.259,4.15936
0.260,4.17757
0.261,4.19101
0.262,4.20008
0.263,4.20525
0.264,4.20708
0.265,4.20624
0.266,4.20361
0.267,4.20010
0.268,4.19615
0.269,4.19197
0.270,4.18774
0.271,4.18355
0.272,4.17946
0.273,4.17550
0.274,4.17165
0.275,4.16787
0.276,4.16409
0.277,4.16032
0.278,4.15660
0.279,4.15298
0.280,4.14951
0.281,4.14624
0.282,4.14325
0.283,4.14061
0.284,4.13839
0.285,4.13671
0.286,4.13561
0.287,4.13515
0.288,4.13534
0.289,4.13618
0.290,4.13768
0.291,4.13985
0.292,4.14266
0.293,4.14611
0.294,4.15017
0.295,4.15479
0.296,4.15996
0.297,4.16567
0.298,4.17194
0.299,4.17882
0.300,4.18632
0.301,4.19450
0.302,4.20341
0.303,4.21310
0.304,4.22365
0.305,4.23514
0.306,4.24771
0.307,4.26144
0.308,4.27636
0.309,4.29245
0.310,4.30970
0.311,4.32807
0.312,4.34754
0.313,4.36805
0.314,4.38959
0.315,4.41212
0.316,4.43562
0.317,4.46010
0.318,4.48560
0.319,4.51210
0.320,4.53948
0.321,4.56759
0.322,4.59625
0.323,4.62528
0.324,4.65445
0.325,4.68355
0.326,4.71233
0.327,4.74052
0.328,4.76782
0.329,4.79388
0.330,4.81825
0.331,4.84033
0.332,4.85978
0.333,4.87648
0.334,4.89035
0.335,4.90136
0.336,4.90954
0.337,4.91492
0.338,4.91755
0.339,4.91751
0.340,4.91489
0.341,4.90980
0.342,4.90237
0.343,4.89278
0.344,4.88122
0.345,4.86800
0.346,4.85329
0.347,4.83724
0.348,4.81998
0.349,4.80159
0.350,4.78220
0.351,4.76190
0.352,4.74079
0.353,4.71898
0.354,4.69657
0.355,4.67369
0.356,4.65045
0.357,4.62699
0.358,4.60350
0.359,4.58017
0.360,4.55730
0.361,4.53509
0.362,4.51365
0.363,4.49310
0.364,4.47349
0.365,4.45488
0.366,4.43729
0.367,4.42075
0.368,4.40525
0.369,4.39077
0.370,4.37730
0.371,4.36477
0.372,4.35314
0.373,4.34232
0.374,4.33222
0.375,4.32269
0.376,4.31355
0.377,4.30459
0.378,4.29569
0.379,4.28679
0.380,4.27783
0.381,4.26875
0.382,4.25954
0.383,4.25016
0.384,4.24061
0.385,4.23088
0.386,4.22096
0.387,4.21087
0.388,4.20062
0.389,4.19023
0.390,4.17972
0.391,4.16913
0.392,4.15851
0.393,4.14791
0.394,4.13742
0.395,4.12715
0.396,4.11714
0.397,4.10743
0.398,4.09804
0.399,4.08901
0.400,4.08034
0.401,4.07203
0.402,4.06410
0.403,4.05655
0.404,4.04937
0.405,4.04256
0.406,4.03610
0.407,4.02999
0.408,4.02421
0.409,4.01874
0.410,4.01356
0.411,4.00863
0.412,4.00393
0.413,3.99942
0.414,3.99503
0.415,3.99071
0.416,3.98643
0.417,3.98216
0.418,3.97788
0.419,3.97357
0.420,3.96923
0.421,3.96483
0.422,3.96037
0.423,3.95584
0.424,3.95124
0.425,3.94656
0.426,3.94180
0.427,3.93696
0.428,3.93203
0.429,3.92703
0.430,3.92194
0.431,3.91677
0.432,3.91153
0.433,3.90622
0.434,3.90085
0.435,3.89543
0.436,3.88997
0.437,3.88450
0.438,3.87901
0.439,3.87351
0.440,3.86802
0.441,3.86253
0.442,3.85705
0.443,3.85158
0.444,3.84613
0.445,3.84069
0.446,3.83528
0.447,3.82989
0.448,3.82452
0.449,3.81918
0.450,3.81387
0.451,3.80859
0.452,3.80334
0.453,3.79812
0.454,3.79293
0.455,3.78778
0.456,3.78266
0.457,3.77758
0.458,3.77254
0.459,3.76753
0.460,3.76256
0.461,3.75763
0.462,3.75274
0.463,3.74789
0.464,3.74309
0.465,3.73832
0.466,3.73359
0.467,3.72890
0.468,3.72426
0.469,3.71966
0.470,3.71510
0.471,3.71058
0.472,3.70611
0.473,3.70168
0.474,3.69729
0.475,3.69294
0.476,3.68864
0.477,3.68438
0.478,3.68016
0.479,3.67599
0.480,3.67186
0.481,3.66777
0.482,3.66372
0.483,3.65972
0.484,3.65576
0.485,3.65185
0.486,3.64797
0.487,3.64415
0.488,3.64036
0.489,3.63662
0.490,3.63292
0.491,3.62927
0.492,3.62565
0.493,3.62209
0.494,3.61856
0.495,3.61508
0.496,3.61164
0.497,3.60824
0.498,3.60488
0.499,3.60156
0.500,3.59828
0.501,3.59504
0.502,3.59184
0.503,3.58868
0.504,3.58555
0.505,3.58246
0.506,3.57941
0.507,3.57640
0.508,3.57341
0.509,3.57046
0.510,3.56755
0.511,3.56466
0.512,3.56181
0.513,3.55898
0.514,3.55619
0.515,3.55342
0.516,3.55068
0.517,3.54796
0.518,3.54526
0.519,3.54258
0.520,3.53993
0.521,3.53728
0.522,3.53466
0.523,3.53204
0.524,3.52945
0.525,3.52686
0.526,3.52429
0.527,3.52173
0.528,3.51918
0.529,3.51664
0.530,3.51411
0.531,3.51159
0.532,3.50908
0.533,3.50659
0.534,3.50410
0.535,3.50162
0.536,3.49915
0.537,3.49669
0.538,3.49425
0.539,3.49181
0.540,3.48938
0.541,3.48696
0.542,3.48455
0.543,3.48215
0.544,3.47976
0.545,3.47739
0.546,3.47502
0.547,3.47267
0.548,3.47033
0.549,3.46800
0.550,3.46569
0.551,3.46339
0.552,3.46110
0.553,3.45884
0.554,3.45659
0.555,3.45436
0.556,3.45215
0.557,3.44997
0.558,3.44780
0.559,3.44566
0.560,3.44354
0.561,3.44145
0.562,3.43937
0.563,3.43732
0.564,3.43529
0.565,3.43329
0.566,3.43130
0.567,3.42935
0.568,3.42741
0.569,3.42550
0.570,3.42360
0.571,3.42174
0.572,3.41989
0.573,3.41807
0.574,3.41626
0.575,3.41448
0.576,3.41272
0.577,3.41098
0.578,3.40926
0.579,3.40756
0.580,3.40588
0.581,3.40422
0.582,3.40258
0.583,3.40095
0.584,3.39935
0.585,3.39775
0.586,3.39618
0.587,3.39462
0.588,3.39308
0.589,3.39155
