,Mode Coeff,Statistic,Mechanism,MUF,cbe10hr180306
223,13,2,2,0,0
224,14,2,2,0,0
225,15,2,2,0,0
226,16,2,2,0,0
227,17,2,2,0,0.07
228,18,2,2,0,0.04
229,19,2,2,0,0
230,20,2,2,0,0
231,0,3,2,0,0
232,1,3,2,0,0
233,2,3,2,0,0
234,3,3,2,0,0
235,4,3,2,0,0
236,5,3,2,0,0
237,6,3,2,0,0
238,7,3,2,0,0
239,8,3,2,0,0
240,9,3,2,0,0
241,10,3,2,0,0
242,11,3,2,0,0
243,12,3,2,0,0
244,13,3,2,0,0
245,14,3,2,0,0
246,15,3,2,0,0
247,16,3,2,0,0
248,17,3,2,0,0
249,18,3,2,0,0
250,19,3,2,0,0
251,20,3,2,0,0
252,0,0,3,0,0
253,1,0,3,0,0
254,2,0,3,0,0
255,3,0,3,0,0
256,4,0,3,0,0
257,5,0,3,0,0
258,6,0,3,0,0
259,7,0,3,0,0
260,8,0,3,0,0
261,9,0,3,0,0
262,10,0,3,0,0
263,11,0,3,0,0
264,12,0,3,0,0
265,13,0,3,0,0
266,14,0,3,0,0
267,15,0,3,0,0
268,16,0,3,0,0
269,17,0,3,0,0
270,18,0,3,0,0
271,19,0,3,0,0
272,20,0,3,0,0
273,0,1,3,0,0.456070170039655
274,1,1,3,0,0.35
275,2,1,3,0,0
276,3,1,3,0,0
277,4,1,3,0,0
278,5,1,3,0,0
279,6,1,3,0,0
280,7,1,3,0,0
281,8,1,3,0,0
282,9,1,3,0,0
283,10,1,3,0,0
284,11,1,3,0,0
285,12,1,3,0,0
286,13,1,3,0,0
287,14,1,3,0,0
288,15,1,3,0,0
289,16,1,3,0,0
290,17,1,3,0,0
291,18,1,3,0,0
292,19,1,3,0,0
293,20,1,3,0,0
294,0,2,3,0,0
295,1,2,3,0,0
296,2,2,3,0,0
297,3,2,3,0,0
298,4,2,3,0,0
299,5,2,3,0,0
300,6,2,3,0,0
301,7,2,3,0,0
302,8,2,3,0,0
303,9,2,3,0,0
304,10,2,3,0,0
305,11,2,3,0,0
306,12,2,3,0,0
307,13,2,3,0,0
308,14,2,3,0,0
309,15,2,3,0,0
310,16,2,3,0,0
311,17,2,3,0,0
312,18,2,3,0,0
313,19,2,3,0,0
314,20,2,3,0,0
315,0,3,3,0,0.226274169979695
316,1,3,3,0,0.185202591774521
317,2,3,3,0,0
318,3,3,3,0,0
319,4,3,3,0,0
320,5,3,3,0,0
321,6,3,3,0,0
322,7,3,3,0,0
323,8,3,3,0,0
324,9,3,3,0,0
325,10,3,3,0,0
326,11,3,3,0,0
327,12,3,3,0,0
328,13,3,3,0,0
329,14,3,3,0,0
330,15,3,3,0,0
331,16,3,3,0,0
332,17,3,3,0,0
333,18,3,3,0,0
334,19,3,3,0,0
335,20,3,3,0,0
336,0,0,4,0,0
337,1,0,4,0,0
338,2,0,4,0,0
339,3,0,4,0,0
340,4,0,4,0,0
341,5,0,4,0,0
342,6,0,4,0,0
343,7,0,4,0,0
344,8,0,4,0,0
345,9,0,4,0,0
346,10,0,4,0,0
347,11,0,4,0,0
348,12,0,4,0,0
349,13,0,4,0,0
350,14,0,4,0,0
351,15,0,4,0,0
352,16,0,4,0,0
353,17,0,4,0,0
354,18,0,4,0,0
355,19,0,4,0,0
356,20,0,4,0,0
357,0,1,4,0,0
358,1,1,4,0,0
359,2,1,4,0,150
360,3,1,4,0,100
361,4,1,4,0,100
362,5,1,4,0,20
363,6,1,4,0,20
364,7,1,4,0,40
365,8,1,4,0,40
366,9,1,4,0,20
367,10,1,4,0,0
368,11,1,4,0,0
369,12,1,4,0,0
370,13,1,4,0,0
371,14,1,4,0,0
372,15,1,4,0,0
373,16,1,4,0,0
374,17,1,4,0,0
375,18,1,4,0,0
376,19,1,4,0,0
377,20,1,4,0,0
378,0,2,4,0,0
379,1,2,4,0,0
380,2,2,4,0,0
381,3,2,4,0,0
382,4,2,4,0,0
383,5,2,4,0,0
384,6,2,4,0,0
385,7,2,4,0,0
386,8,2,4,0,0
387,9,2,4,0,0
388,10,2,4,0,0
389,11,2,4,0,0
390,12,2,4,0,0
391,13,2,4,0,0
392,14,2,4,0,0
393,15,2,4,0,0
394,16,2,4,0,0
395,17,2,4,0,0
396,18,2,4,0,0
397,19,2,4,0,0
398,20,2,4,0,0
399,0,3,4,0,0
400,1,3,4,0,0
401,2,3,4,0,100
402,3,3,4,0,70
403,4,3,4,0,70
404,5,3,4,0,15
405,6,3,4,0,15
406,7,3,4,0,30
407,8,3,4,0,30
408,9,3,4,0,15
409,10,3,4,0,0
410,11,3,4,0,0
411,12,3,4,0,0
412,13,3,4,0,0
413,14,3,4,0,0
414,15,3,4,0,0
415,16,3,4,0,0
416,17,3,4,0,0
417,18,3,4,0,0
418,19,3,4,0,0
419,20,3,4,0,0
420,0,0,5,0,0
421,1,0,5,0,0
422,2,0,5,0,0
423,3,0,5,0,0
424,4,0,5,0,0
425,5,0,5,0,0
426,6,0,5,0,0
427,7,0,5,0,0
428,8,0,5,0,0
429,9,0,5,0,0
430,10,0,5,0,0
431,11,0,5,0,0
432,12,0,5,0,0
433,13,0,5,0,0
434,14,0,5,0,0
435,15,0,5,0,0
436,16,0,5,0,0
437,17,0,5,0,0
438,18,0,5,0,0
439,19,0,5,0,2.5
440,20,0,5,0,0
441,0,1,5,0,0
442,1,1,5,0,0
443,2,1,5,0,0
444,3,1,5,0,0
445,4,1,5,0,0
446,5,1,5,0,0
447,6,1,5,0,0
448,7,1,5,0,0
449,8,1,5,0,0
450,9,1,5,0,0
451,10,1,5,0,0
452,11,1,5,0,0
453,12,1,5,0,0
454,13,1,5,0,0
455,14,1,5,0,0
456,15,1,5,0,0
457,16,1,5,0,0
458,17,1,5,0,0
459,18,1,5,0,0
460,19,1,5,0,2.5
461,20,1,5,0,0
462,0,2,5,0,0
463,1,2,5,0,0
464,2,2,5,0,0
