,Mode Coeff,Statistic,Mechanism,MUF,cbe10hr180306
1114,1,1,6,1,0
1115,2,1,6,1,0
1116,3,1,6,1,0
1117,4,1,6,1,0
1118,5,1,6,1,0
1119,6,1,6,1,0
1120,7,1,6,1,0
1121,8,1,6,1,0
1122,9,1,6,1,0
1123,10,1,6,1,0
1124,11,1,6,1,0
1125,12,1,6,1,0
1126,13,1,6,1,0
1127,14,1,6,1,0
1128,15,1,6,1,0
1129,16,1,6,1,0
1130,17,1,6,1,0
1131,18,1,6,1,0
1132,19,1,6,1,0
1133,20,1,6,1,3
1134,0,2,6,1,0
1135,1,2,6,1,0
1136,2,2,6,1,0
1137,3,2,6,1,0
1138,4,2,6,1,0
1139,5,2,6,1,0
1140,6,2,6,1,0
1141,7,2,6,1,0
1142,8,2,6,1,0
1143,9,2,6,1,0
1144,10,2,6,1,0
1145,11,2,6,1,0
1146,12,2,6,1,0
1147,13,2,6,1,0
1148,14,2,6,1,0
1149,15,2,6,1,0
1150,16,2,6,1,0
1151,17,2,6,1,0
1152,18,2,6,1,0
1153,19,2,6,1,0
1154,20,2,6,1,3
1155,0,3,6,1,0
1156,1,3,6,1,0
1157,2,3,6,1,0
1158,3,3,6,1,0
1159,4,3,6,1,0
1160,5,3,6,1,0
1161,6,3,6,1,0
1162,7,3,6,1,0
1163,8,3,6,1,0
1164,9,3,6,1,0
1165,10,3,6,1,0
1166,11,3,6,1,0
1167,12,3,6,1,0
1168,13,3,6,1,0
1169,14,3,6,1,0
1170,15,3,6,1,0
1171,16,3,6,1,0
1172,17,3,6,1,0
1173,18,3,6,1,0
1174,19,3,6,1,0
1175,20,3,6,1,3
