Number,Name,V,PcDist,GeometricAlbedo,ExoZodi,A,VComp,UseSpec,PhaseAng,Albedo,Rp/R_j
1,EB Fiducial Planet,5.000000000000000,10.000000000000000,,1.000000000000000,2.482600317665610,99.000000000000000,g0v,65.000000000000000,0.250000000000000,2.375755275010990
2,Planet Sensitivity,7.000000000000000,10.000000000000000,0.517464109106563,1.000000000000000,1.490767220123030,99.000000000000000,g5v,65.000000000000000,0.289000000000000,1.000000000000000
3,DRM Dust Sensitivity,0.026000000000000,7.000000000000000,,0.000000000000000,3.864952052170820,99.000000000000000,a5v,90.000000000000000,0.000000000000000,0.000000000000000
4,superEarth Cand,4.000000000000000,6.000000000000000,0.429727979880883,1.000000000000000,1.000000000000000,99.000000000000000,g0v,65.000000000000000,0.240000000000000,0.218712362861352
5,Earth 2.0,4.500000000000000,5.000000000000000,0.436890112878898,1.000000000000000,1.000000000000000,99.000000000000000,g0v,65.000000000000000,0.244000000000000,0.091130151192230
6,DRM insta-Planet,9.500000000000000,1.830000000000000,unused!,1.000000000000000,0.402578818255867,99.000000000000000,m5v,90.000000000000000,0.742098642086001,1.000000000000000
7,tau Cet e,3.500000000000000,3.650167907720000,0.436890112878898,1.000000000000000,0.540000000000000,99.000000000000000,g5v,90.000000000000000,0.139066442105305,0.131227417716811
8,HD 62509 b,1.140000000000000,10.340000000000000,0.450000000000000,1.000000000000000,1.660000000000000,99.000000000000000,k0v,65.000000000000000,0.251321778093055,1.000000000000000
9,gam Cep b,3.210000000000000,13.540000000000000,0.450000000000000,1.000000000000000,2.050000000000000,99.000000000000000,k0v,65.000000000000000,0.251321778093055,1.000000000000000
10,tau Cet f,3.500000000000000,3.600000000000000,0.450000000000000,1.000000000000000,1.334000000000000,99.000000000000000,g5v,65.000000000000000,0.251321778093055,0.152693283403471
11,tau Cet e,3.500000000000000,3.600000000000000,0.450000000000000,1.000000000000000,0.538000000000000,99.000000000000000,g5v,65.000000000000000,0.251321778093055,0.152693283403471
12,eps Eri b,3.820000000000000,3.210000000000000,0.450000000000000,1.000000000000000,3.390000000000000,99.000000000000000,k0v,65.000000000000000,0.251321778093055,1.000000000000000
13,bet Pic b,3.850000000000000,19.750000000000000,0.450000000000000,1.000000000000000,9.537894348933640,99.000000000000000,a5v,65.000000000000000,0.251321778093055,1.650000000000000
14,ups And d,4.100000000000000,13.410000000000000,0.450000000000000,1.000000000000000,2.513290000000000,99.000000000000000,f5v,65.000000000000000,0.251321778093055,1.000000000000000
15,HD 114613 b,4.850000000000000,20.290000000000000,0.450000000000000,1.000000000000000,5.340000000000000,99.000000000000000,g5v,65.000000000000000,0.251321778093055,0.791297005857250
16,47 UMa c,5.050000000000000,13.800000000000000,0.450000000000000,1.000000000000000,3.600000000000000,99.000000000000000,g0v,65.000000000000000,0.251321778093055,0.869328448051535
17,47 UMa b,5.050000000000000,13.800000000000000,0.450000000000000,1.000000000000000,2.100000000000000,99.000000000000000,g0v,65.000000000000000,0.251321778093055,1.000000000000000
18,47 UMa d,5.050000000000000,13.800000000000000,0.450000000000000,1.000000000000000,11.600000000000000,99.000000000000000,g0v,65.000000000000000,0.251321778093055,1.000000000000000
19,HD 160691 c,5.150000000000000,15.610000000000000,0.450000000000000,1.000000000000000,5.543000000000000,99.000000000000000,g5v,65.000000000000000,0.251321778093055,1.000000000000000
20,51 Eri b,5.230000000000000,29.400000000000000,0.450000000000000,1.000000000000000,13.200000000000000,99.000000000000000,f5v,65.000000000000000,0.251321778093055,1.000000000000000
21,HD 219134 h,5.570000000000000,6.550000000000000,0.450000000000000,1.000000000000000,3.015000000000000,99.000000000000000,k5v,65.000000000000000,0.251321778093055,0.680124780241919
22,HD 39091 b,5.670000000000000,18.280000000000000,0.450000000000000,1.000000000000000,3.100000000000000,99.000000000000000,g0v,65.000000000000000,0.251321778093055,1.000000000000000
23,psi 1 Dra B b,5.699000000000000,22.160000000000000,0.450000000000000,1.000000000000000,4.430000000000000,99.000000000000000,g0v,65.000000000000000,0.251321778093055,1.000000000000000
24,HD 142 c,5.700000000000000,26.210000000000000,0.450000000000000,1.000000000000000,6.800000000000000,99.000000000000000,g0v,65.000000000000000,0.251321778093055,1.000000000000000
25,HD 190360 c,5.730000000000000,16.010000000000000,0.450000000000000,1.000000000000000,3.956499739504520,99.000000000000000,g5v,65.000000000000000,0.251321778093055,1.000000000000000
26,HD 190360 b,5.730000000000000,16.010000000000000,0.450000000000000,1.000000000000000,3.937211843964200,99.000000000000000,g5v,65.000000000000000,0.251321778093055,1.000000000000000
27,HD 192310 c,5.730000000000000,8.800000000000000,0.450000000000000,1.000000000000000,1.180000000000000,99.000000000000000,k5v,65.000000000000000,0.251321778093055,0.381074478089318
28,HD 30562 b,5.780000000000000,26.180000000000000,0.450000000000000,1.000000000000000,2.315000000000000,99.000000000000000,f5v,65.000000000000000,0.251321778093055,1.000000000000000
29,HR 8799 d,5.953000000000000,39.400000000000000,0.450000000000000,1.000000000000000,24.000000000000000,99.000000000000000,f5v,65.000000000000000,0.251321778093055,1.200000000000000
30,HR 8799 e,5.953000000000000,39.400000000000000,0.450000000000000,1.000000000000000,16.990000000000000,99.000000000000000,f5v,65.000000000000000,0.251321778093055,0.900000000000000
31,HR 8799 c,5.953000000000000,39.400000000000000,0.450000000000000,1.000000000000000,38.000000000000000,99.000000000000000,f5v,65.000000000000000,0.251321778093055,1.200000000000000
32,55 Cnc d,5.960000000000000,12.590000000000000,0.450000000000000,1.000000000000000,5.470000000000000,99.000000000000000,g5v,65.000000000000000,0.251321778093055,1.000000000000000
