Mode,lam_560,lam_575,lam_660,lam_705,lam_730,lam_760,lam_825
IMG full path,0.474707349724077,0.483948613384269,0.490738145257614,0.473267315370983,0.465296179489905,0.453541987909210,0.422441783425359
IFS full path,0.335612457837432,0.342790198127083,0.344354081923321,0.325908130908710,0.317975524806687,0.306931835043783,0.279977843163257
